Date,VIX
8/11/1990,30.79000092
9/11/1990,26.95999908
12/11/1990,25.60000038
13/11/1990,24.57999992
14/11/1990,22.88999939
15/11/1990,22.56999969
16/11/1990,21.34000015
19/11/1990,20.95000076
20/11/1990,20.09000015
21/11/1990,21.09000015
23/11/1990,20.97999954
26/11/1990,22.76000023
27/11/1990,22.86000061
28/11/1990,22.95999908
29/11/1990,23.90999985
30/11/1990,22.15999985
3/12/1990,22.29000092
4/12/1990,22.03000069
5/12/1990,20.94000053
6/12/1990,22.62000084
7/12/1990,22.59000015
10/12/1990,23.57999992
11/12/1990,23.75
12/12/1990,21.28000069
13/12/1990,23.04999924
14/12/1990,23.85000038
17/12/1990,24.85000038
18/12/1990,23.11000061
19/12/1990,23.07999992
20/12/1990,23.12999916
21/12/1990,22.65999985
24/12/1990,24.03000069
26/12/1990,24.18000031
27/12/1990,24.80999947
28/12/1990,25.04999924
31/12/1990,26.37999916
2/01/1991,26.62000084
3/01/1991,27.93000031
4/01/1991,27.19000053
7/01/1991,28.95000076
8/01/1991,30.37999916
9/01/1991,33.29999924
10/01/1991,31.32999992
11/01/1991,32.63000107
14/01/1991,36.20000076
15/01/1991,36.15999985
16/01/1991,33.20000076
17/01/1991,27.45000076
18/01/1991,25.38999939
21/01/1991,24.32999992
22/01/1991,24.89999962
23/01/1991,23.92000008
24/01/1991,22.86000061
25/01/1991,22.20000076
28/01/1991,23.04999924
29/01/1991,23.17000008
30/01/1991,21.37000084
31/01/1991,20.90999985
1/02/1991,21.04000092
4/02/1991,21.86000061
5/02/1991,21.45999908
6/02/1991,22.68000031
7/02/1991,23.60000038
8/02/1991,23.37999916
11/02/1991,22.55999947
12/02/1991,22.26000023
13/02/1991,20.86000061
14/02/1991,21.47999954
15/02/1991,19.56999969
19/02/1991,19.84000015
20/02/1991,22.26000023
21/02/1991,20.78000069
22/02/1991,21.01000023
25/02/1991,22.86000061
26/02/1991,20.37999916
27/02/1991,21.26000023
28/02/1991,21.22999954
1/03/1991,21.22999954
4/03/1991,20.86000061
5/03/1991,20.45000076
6/03/1991,20.54999924
7/03/1991,21.04999924
8/03/1991,20.80999947
11/03/1991,20.87999916
12/03/1991,18.81999969
13/03/1991,16.09000015
14/03/1991,14.93999958
15/03/1991,14.89999962
18/03/1991,15.78999996
19/03/1991,16.11000061
20/03/1991,16.04000092
21/03/1991,16.86000061
22/03/1991,16.48999977
25/03/1991,16.76000023
26/03/1991,16.30999947
27/03/1991,16.54999924
28/03/1991,16.87999916
1/04/1991,17.42000008
2/04/1991,17.39999962
3/04/1991,17.61000061
4/04/1991,18.01000023
5/04/1991,17.62999916
8/04/1991,17.40999985
9/04/1991,20.12000084
10/04/1991,19.72999954
11/04/1991,17.23999977
12/04/1991,18.45000076
15/04/1991,16.5
16/04/1991,15.81999969
17/04/1991,15.47000027
18/04/1991,16.26000023
19/04/1991,15.68000031
22/04/1991,16.78000069
23/04/1991,17.02000046
24/04/1991,16.71999931
25/04/1991,17.14999962
26/04/1991,17.27000046
29/04/1991,18.27000046
30/04/1991,18.23999977
1/05/1991,17.77000046
2/05/1991,17.52000046
3/05/1991,17.23999977
6/05/1991,17.92000008
7/05/1991,17.45999908
8/05/1991,17.78000069
9/05/1991,17.17000008
10/05/1991,17.54000092
13/05/1991,17.65999985
14/05/1991,18
15/05/1991,18.37999916
16/05/1991,17.23999977
17/05/1991,16.63999939
20/05/1991,17.10000038
21/05/1991,16.06999969
22/05/1991,16.15999985
23/05/1991,16.11000061
24/05/1991,15.22999954
