Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
5/06/2000,,,,,,,,,,,70.91635132,,,,
6/06/2000,,,,,,,,,,,67.99707794,,,,
7/06/2000,,,,,,,,,,,69.11987305,,,,
8/06/2000,,,,,,,,,,,69.43427277,,,,
9/06/2000,,,,,,,,,,,70.87143707,,,,
12/06/2000,,,,,,,,,,,68.13179779,,,,
13/06/2000,,,,,,,,,,,71.00624847,,,,
14/06/2000,,,,,,,,,,,67.95217133,,,,
15/06/2000,,,,,,,,,,,68.53601074,,,,
16/06/2000,,,,,,,,,,,68.98516083,,,,
19/06/2000,,,,,,,,,,,73.65598297,,,,
20/06/2000,,,,,,,,,,,74.7339325,,,,
21/06/2000,,,,,,,,,,,75.04828644,,,,
22/06/2000,,,,,,,,,,,71.32060242,,,,
23/06/2000,,,,,,,,,,,70.06303406,,,,
26/06/2000,,,,,,,,,,,70.06303406,,,,
27/06/2000,,,,,,,,,,,67.8174057,,,,
28/06/2000,,,,,,,,,,,68.17671967,,,,
29/06/2000,,,,,,,,,,,66.60478973,,,,
30/06/2000,,,,,,,,,,,67.54799652,,,,
3/07/2000,,,,,,,,,,,69.07497406,,,,
5/07/2000,,,,,,,,,,,63.68548584,,,,
6/07/2000,,,,,,,,,,,66.29046631,,,,
7/07/2000,,,,,,,,,,,68.4462204,,,,
10/07/2000,,,,,,,,,,,68.35636902,,,,
11/07/2000,,,,,,,,,,,67.27851105,,,,
12/07/2000,,,,,,,,,,,68.94028473,,,,
13/07/2000,,,,,,,,,,,70.6917572,,,,
14/07/2000,,,,,,,,,,,72.84763336,,,,
17/07/2000,,,,,,,,,,,73.97041321,,,,
18/07/2000,,,,,,,,,,,70.73672485,,,,
19/07/2000,,,,,,,,,,,68.22160339,,,,
20/07/2000,,,,,,,,,,,67.14374542,,,,
21/07/2000,,,,,,,,,,,64.40402222,,,,
24/07/2000,,,,,,,,,,,64.13460541,,,,
25/07/2000,,,,,,,,,,,66.6946106,,,,
26/07/2000,,,,,,,,,,,63.77539825,,,,
27/07/2000,,,,,,,,,,,59.4188652,,,,
28/07/2000,,,,,,,,,,,58.87992096,,,,
31/07/2000,,,,,,,,,,,60.81116867,,,,
1/08/2000,,,,,,,,,,,58.79005432,,,,
2/08/2000,,,,,,,,,,,58.20620346,,,,
3/08/2000,,,,,,,,,,,58.11639023,,,,
4/08/2000,,,,,,,,,,,56.5444603,,,,
7/08/2000,,,,,,,,,,,58.20620346,,,,
8/08/2000,,,,,,,,,,,58.25114822,,,,
9/08/2000,,,,,,,,,,,59.9577713,,,,
10/08/2000,,,,,,,,,,,58.52061844,,,,
11/08/2000,,,,,,,,,,,59.4188652,,,,
14/08/2000,,,,,,,,,,,63.05670547,,,,
15/08/2000,,,,,,,,,,,65.12272644,,,,
16/08/2000,,,,,,,,,,,67.00904846,,,,
17/08/2000,,,,,,,,,,,68.31150055,,,,
18/08/2000,,,,,,,,,,,70.01812744,,,,
21/08/2000,,,,,,,,,,,68.26654816,,,,
22/08/2000,,,,,,,,,,,68.94028473,,,,
23/08/2000,,,,,,,,,,,71.67986298,,,,
24/08/2000,,,,,,,,,,,71.32060242,,,,
25/08/2000,,,,,,,,,,,70.42232513,,,,
28/08/2000,,,,,,,,,,,70.78166199,,,,
29/08/2000,,,,,,,,,,,70.24272919,,,,
30/08/2000,,,,,,,,,,,69.56900024,,,,
31/08/2000,,,,,,,,,,,70.91635132,,,,
