Date,BTCUSD,ETHUSD,XRPUSD
4/02/2015,226.8529968,,0.0134982
5/02/2015,217.1109924,,0.0144663
6/02/2015,222.2660065,,0.0151853
7/02/2015,227.7539978,,0.0145771
8/02/2015,223.4120026,,0.0144265
9/02/2015,220.1100006,,0.0139944
10/02/2015,219.8390045,,0.0136488
11/02/2015,219.1849976,,0.0137764
12/02/2015,221.7640076,,0.0140395
13/02/2015,235.427002,,0.0145655
14/02/2015,257.3210144,,0.0149557
15/02/2015,234.8249969,,0.0137124
16/02/2015,233.8430023,,0.0137499
17/02/2015,243.6100006,,0.0140307
18/02/2015,236.326004,,0.0137907
19/02/2015,240.2830048,,0.0137579
20/02/2015,243.779007,,0.0134808
21/02/2015,244.5339966,,0.0132858
22/02/2015,235.977005,,0.0131296
23/02/2015,238.8919983,,0.0133343
24/02/2015,238.7350006,,0.0133964
25/02/2015,237.4700012,,0.0134012
26/02/2015,236.4259949,,0.0132989
27/02/2015,253.8280029,,0.0133598
28/02/2015,254.2630005,,0.0129979
1/03/2015,260.2019958,,0.0122386
2/03/2015,275.6700134,,0.0121921
3/03/2015,281.7019958,,0.0105928
4/03/2015,273.0920105,,0.010032
5/03/2015,276.178009,,0.0115435
6/03/2015,272.7229919,,0.0108557
7/03/2015,276.2609863,,0.010535
8/03/2015,274.3540039,,0.00996095
9/03/2015,289.6069946,,0.0106431
10/03/2015,291.7600098,,0.0100864
11/03/2015,296.3789978,,0.0102294
12/03/2015,294.3540039,,0.010359
13/03/2015,285.3370056,,0.0105112
14/03/2015,281.8850098,,0.0110881
15/03/2015,286.3930054,,0.0108172
16/03/2015,290.5929871,,0.0109681
17/03/2015,285.5050049,,0.010929
18/03/2015,256.2990112,,0.0105753
19/03/2015,260.928009,,0.0104804
20/03/2015,261.7489929,,0.0104461
21/03/2015,260.0249939,,0.0101817
22/03/2015,267.9599915,,0.010196
23/03/2015,266.7399902,,0.0103085
24/03/2015,245.5950012,,0.00975656
25/03/2015,246.1970062,,0.00911508
26/03/2015,248.5319977,,0.00876441
27/03/2015,247.029007,,0.00889473
28/03/2015,252.7980042,,0.00885124
29/03/2015,242.7129974,,0.00849837
30/03/2015,247.526001,,0.00845314
31/03/2015,244.223999,,0.00777155
1/04/2015,247.2720032,,0.00766795
2/04/2015,253.0050049,,0.00790557
3/04/2015,254.3220062,,0.00872025
4/04/2015,253.6970062,,0.00884378
5/04/2015,260.5979919,,0.00873875
6/04/2015,255.4920044,,0.00878588
7/04/2015,253.1799927,,0.00907077
8/04/2015,245.0220032,,0.00919803
9/04/2015,243.6759949,,0.00878012
10/04/2015,236.0720062,,0.00851215
11/04/2015,236.552002,,0.00829986
12/04/2015,236.1529999,,0.00860976
13/04/2015,224.5870056,,0.00819443
14/04/2015,219.1589966,,0.0081589
15/04/2015,223.8329926,,0.00794882
16/04/2015,228.572998,,0.00800978
17/04/2015,222.8820038,,0.00802544
18/04/2015,223.3560028,,0.00789994
19/04/2015,222.6000061,,0.00784636
20/04/2015,224.6260071,,0.00793162
21/04/2015,235.2689972,,0.00796757
22/04/2015,234.1759949,,0.00802505
23/04/2015,236.4620056,,0.00801867
24/04/2015,231.2680054,,0.00807693
25/04/2015,226.3899994,,0.00829068
26/04/2015,219.4299927,,0.00774017
27/04/2015,229.2859955,,0.00776538
28/04/2015,225.8549957,,0.00762987
29/04/2015,225.8079987,,0.00786304
30/04/2015,236.1450043,,0.00802912
1/05/2015,232.0789948,,0.00801848
2/05/2015,234.9299927,,0.00803712
3/05/2015,240.3580017,,0.00805545
4/05/2015,239.0180054,,0.00801697
5/05/2015,236.1210022,,0.00790952
6/05/2015,229.7819977,,0.00778238
7/05/2015,237.3339996,,0.00752867
8/05/2015,243.8630066,,0.00749133
9/05/2015,241.8320007,,0.00757382
10/05/2015,240.2960052,,0.00738246
11/05/2015,242.1580048,,0.00736026
12/05/2015,241.1119995,,0.00721325
13/05/2015,236.3769989,,0.00685693
14/05/2015,236.9290009,,0.00660237
15/05/2015,237.6049957,,0.00665521
16/05/2015,236.1529999,,0.00658775
17/05/2015,236.802002,,0.00632913
18/05/2015,233.128006,,0.00574805
19/05/2015,231.9470062,,0.00653941
20/05/2015,234.0180054,,0.0066357
21/05/2015,235.3439941,,0.00657259
22/05/2015,240.3480072,,0.00664944
23/05/2015,238.871994,,0.00679995
24/05/2015,240.9530029,,0.00680917
25/05/2015,237.1100006,,0.00692489
26/05/2015,237.1159973,,0.00679358
27/05/2015,237.2830048,,0.00693675
28/05/2015,237.4080048,,0.00785713
29/05/2015,237.095993,,0.00905644
30/05/2015,233.3450012,,0.00840912
31/05/2015,230.1900024,,0.0082901
1/06/2015,222.9259949,,0.00757852
2/06/2015,225.8029938,,0.00798059
3/06/2015,225.8739929,,0.00801199
4/06/2015,224.3240051,,0.00787936
5/06/2015,224.9519958,,0.00795649
6/06/2015,225.6190033,,0.00790513
7/06/2015,222.8809967,,0.00787403
8/06/2015,228.4889984,,0.0079995
9/06/2015,229.0480042,,0.00799489
10/06/2015,228.8029938,,0.00799855
11/06/2015,229.7050018,,0.00804221
12/06/2015,229.9819946,,0.00805721
13/06/2015,232.4019928,,0.00809285
14/06/2015,233.5429993,,0.00814671
15/06/2015,236.822998,,0.00857882
16/06/2015,250.8950043,,0.00942366
17/06/2015,249.2839966,,0.00967843
18/06/2015,249.0070038,,0.0102521
19/06/2015,244.6060028,,0.0112069
20/06/2015,245.2120056,,0.0110393
21/06/2015,243.9440002,,0.010314
22/06/2015,246.9900055,,0.0105669
23/06/2015,244.2960052,,0.0106671
24/06/2015,240.5149994,,0.0109142
25/06/2015,242.798996,,0.0110479
26/06/2015,243.5939941,,0.0112876
27/06/2015,250.9900055,,0.0114447
28/06/2015,249.0110016,,0.0114671
29/06/2015,257.0639954,,0.0119766
30/06/2015,263.071991,,0.0113195
1/07/2015,258.6210022,,0.0111984
2/07/2015,255.4120026,,0.0110368
3/07/2015,256.3359985,,0.0110992
4/07/2015,260.8859863,,0.010782
5/07/2015,271.9129944,,0.0100215
6/07/2015,269.0299988,,0.00987258
7/07/2015,266.2070007,,0.00958015
8/07/2015,270.7850037,,0.00944903
9/07/2015,269.2279968,,0.00898701
10/07/2015,284.8940125,,0.00884711
11/07/2015,293.1149902,,0.00861511
12/07/2015,310.8670044,,0.00861367
13/07/2015,292.0539856,,0.00856894
14/07/2015,287.4639893,,0.00863059
15/07/2015,285.82901,,0.00851569
16/07/2015,278.0889893,,0.0080619
17/07/2015,279.4719849,,0.00802556
18/07/2015,274.901001,,0.00805963
19/07/2015,273.6140137,,0.00809126
20/07/2015,278.9809875,,0.00794842
21/07/2015,275.8330078,,0.00771126
22/07/2015,277.2219849,,0.00757859
23/07/2015,276.0490112,,0.00748672
24/07/2015,288.2780151,,0.00765631
25/07/2015,288.696991,,0.00788838
26/07/2015,292.6860046,,0.00811529
27/07/2015,293.6239929,,0.00856235
28/07/2015,294.427002,,0.00844863
29/07/2015,289.5899963,,0.00851873
30/07/2015,287.7219849,,0.00849065
31/07/2015,284.6499939,,0.00843686
1/08/2015,281.6010132,,0.00822199
2/08/2015,282.6140137,,0.00822998
3/08/2015,281.2269897,,0.00828083
4/08/2015,285.2179871,,0.00827137
5/08/2015,281.8819885,,0.00822449
6/08/2015,278.5769958,,0.00802447
7/08/2015,279.5849915,2.772119999,0.00815244
8/08/2015,260.9970093,0.753324986,0.00847606
9/08/2015,265.0830078,0.701897025,0.00880794
10/08/2015,264.4700012,0.708447993,0.00875015
11/08/2015,270.3859863,1.067860007,0.00859063
12/08/2015,266.3760071,1.217440009,0.0082711
13/08/2015,264.0799866,1.827669978,0.00814718
14/08/2015,265.6799927,1.827870011,0.00833676
15/08/2015,261.5509949,1.688899994,0.00842036
16/08/2015,258.5069885,1.566030025,0.00831485
17/08/2015,257.9760132,1.203609943,0.00830144
18/08/2015,211.0789948,1.087049961,0.00755184
19/08/2015,226.6840057,1.258859992,0.00775847
20/08/2015,235.3500061,1.464920044,0.00787194
21/08/2015,232.5690002,1.395290017,0.00788082
22/08/2015,230.3899994,1.379230022,0.00772195
23/08/2015,228.1690063,1.352589965,0.00755212
24/08/2015,210.4949951,1.231269956,0.00739715
25/08/2015,221.6089935,1.140190005,0.00712615
26/08/2015,225.8309937,1.159980059,0.00749195
27/08/2015,224.7689972,1.147699952,0.00755142
28/08/2015,231.3959961,1.191380024,0.00743276
29/08/2015,229.7799988,1.182549953,0.00775073
30/08/2015,228.7610016,1.319270015,0.00805045
31/08/2015,230.0559998,1.358240008,0.00788365
1/09/2015,228.1210022,1.351609945,0.00781497
2/09/2015,229.2839966,1.29479003,0.00770012
3/09/2015,227.1829987,1.26493001,0.00743069
4/09/2015,230.2980042,1.274410009,0.00735501
5/09/2015,235.0189972,1.338809967,0.00786027
6/09/2015,239.8399963,1.295830011,0.0078907
7/09/2015,239.8470001,1.246649981,0.00791775
8/09/2015,243.6069946,1.242429972,0.00783145
9/09/2015,238.1679993,1.206509948,0.00767789
10/09/2015,238.477005,1.165770054,0.00766268
11/09/2015,240.1069946,0.982977986,0.00844425
12/09/2015,235.2290039,1.038740039,0.00819714
13/09/2015,230.5119934,0.936003029,0.00853182
14/09/2015,230.6439972,0.875621974,0.00740404
15/09/2015,230.3040009,0.944410026,0.00771955
16/09/2015,229.0910034,0.907175004,0.00742566
17/09/2015,229.8099976,0.874230981,0.00737193
18/09/2015,232.9750061,0.853685021,0.007529
19/09/2015,231.4929962,0.882390976,0.00748187
20/09/2015,231.2120056,0.938444972,0.00763701
21/09/2015,227.0850067,0.919046998,0.00724669
22/09/2015,230.6179962,0.901795983,0.00716754
23/09/2015,230.2830048,0.893405974,0.00666824
24/09/2015,234.529007,0.813610017,0.0067097
25/09/2015,235.1439972,0.736222982,0.0066503
26/09/2015,234.3399963,0.785964012,0.0065013
27/09/2015,232.7570038,0.720839024,0.00653617
28/09/2015,239.1419983,0.582885981,0.0062935
29/09/2015,236.6869965,0.661145985,0.00557935
30/09/2015,236.0599976,0.738644004,0.00552017
1/10/2015,237.548996,0.690214992,0.00544827
2/10/2015,237.2929993,0.678574026,0.00586803
3/10/2015,238.7299957,0.687170982,0.00551664
4/10/2015,238.2590027,0.668379009,0.00523623
5/10/2015,240.3829956,0.628642976,0.00500757
6/10/2015,246.0630035,0.650645018,0.00532817
7/10/2015,242.9689941,0.609387994,0.00537507
8/10/2015,242.3040009,0.621716022,0.00503091
9/10/2015,243.9309998,0.650627971,0.00498277
10/10/2015,244.9409943,0.627857029,0.00503727
11/10/2015,247.0500031,0.634962976,0.0051822
12/10/2015,245.3079987,0.626030028,0.00526018
13/10/2015,249.5079956,0.607654989,0.0053765
14/10/2015,251.9889984,0.522967994,0.00541833
15/10/2015,254.3200073,0.561878026,0.00539918
16/10/2015,262.868988,0.53649497,0.00539754
17/10/2015,270.6400146,0.54717797,0.0052032
