Date,CONS,NGDP,MONEY,PRICE,SHORT,LONG,URATE,WAGE,INVEST
1970-07-01,55703000000.00000,9705000000.000000,15000000000.000000,9.10146273508242,6.85000000000000,6.87666666666667,1.70000000000000,,18324000000.000000
1970-10-01,56305000000.00000,9867000000.000000,15300000000.000000,9.28720687253309,6.36666666666667,6.84000000000000,1.60000000000000,,18659000000.000000
1971-01-01,56254000000.00000,10247000000.000000,15500000000.000000,9.38007894125842,7.40000000000000,6.84666666666667,1.70000000000000,,19251000000.000000
1971-04-01,56708000000.00000,10478000000.000000,15800000000.000000,9.47295100998374,7.91666666666667,6.83333333333333,1.90000000000000,,19071000000.000000
1971-07-01,58145000000.00000,10887000000.000000,16200000000.000000,9.75156721615974,6.65000000000000,6.80333333333333,1.90000000000000,,19856000000.000000
1971-10-01,57861000000.00000,10902000000.000000,16600000000.000000,9.93731135361040,6.06666666666667,6.37000000000000,2.20000000000000,,19226000000.000000
1972-01-01,58144000000.00000,11101000000.000000,16900000000.000000,10.03018342233570,5.53333333333333,5.94000000000000,2.40000000000000,,19092000000.000000
1972-04-01,58932000000.00000,11525000000.000000,17500000000.000000,10.12305549106110,5.61666666666667,5.85000000000000,2.40000000000000,,19244000000.000000
1972-07-01,59555000000.00000,11685000000.000000,18200000000.000000,10.30879962851170,4.56666666666667,5.76666666666667,2.90000000000000,,19595000000.000000
1972-10-01,60219000000.00000,12075000000.000000,19300000000.000000,10.40167169723710,4.61666666666667,5.77000000000000,2.80000000000000,,19738000000.000000
1973-01-01,61649000000.00000,12678000000.000000,20400000000.000000,10.58741583468770,4.98333333333333,5.75000000000000,2.60000000000000,,20184000000.000000
1973-04-01,62543000000.00000,13274000000.000000,21500000000.000000,10.95890410958900,6.20000000000000,6.34666666666667,2.30000000000000,,20269000000.000000
1973-07-01,63249000000.00000,14019000000.000000,22900000000.000000,11.33039238449040,7.38333333333333,7.28333333333333,2.10000000000000,,20600000000.000000
1973-10-01,64163000000.00000,14950000000.000000,23900000000.000000,11.70188065939170,9.36666666666667,8.35333333333333,2.10000000000000,,21260000000.000000
1974-01-01,65715000000.00000,15477000000.000000,24500000000.000000,12.07336893429300,9.61666666666667,8.36333333333333,2.10000000000000,,21305000000.000000
1974-04-01,66156000000.00000,15748000000.000000,25300000000.000000,12.53772927791970,18.93333333333330,8.78333333333333,2.10000000000000,,20026000000.000000
1974-07-01,67415000000.00000,16734000000.000000,24900000000.000000,13.18783375899700,13.93333333333330,9.50000000000000,2.70000000000000,,19478000000.000000
1974-10-01,66976000000.00000,17625000000.000000,25400000000.000000,13.65219410262360,10.15000000000000,9.50000000000000,4.00000000000000,,19284000000.000000
1975-01-01,68490000000.00000,17977000000.000000,27700000000.000000,14.20942651497560,8.90000000000000,9.46666666666667,4.80000000000000,,19432000000.000000
1975-04-01,69048000000.00000,18804000000.000000,29200000000.000000,14.67378685860230,9.16666666666667,9.50000000000000,4.80000000000000,,19665000000.000000
1975-07-01,68550000000.00000,19375000000.000000,30600000000.000000,14.76665892732760,8.13333333333333,10.00000000000000,4.70000000000000,,19904000000.000000
1975-10-01,67214000000.00000,20307000000.000000,31800000000.000000,15.60250754585560,7.90000000000000,10.00000000000000,5.40000000000000,,19752000000.000000
1976-01-01,68425000000.00000,21269000000.000000,32300000000.000000,16.06686788948220,8.13333333333333,10.00333333333330,4.90000000000000,,20172000000.000000
1976-04-01,69794000000.00000,22209000000.000000,33400000000.000000,16.43835616438360,10.04000000000000,9.99666666666667,4.50000000000000,,20705000000.000000
1976-07-01,71434000000.00000,22986000000.000000,39300000000.000000,16.80984443928490,9.44666666666667,9.99333333333334,4.80000000000000,,20337000000.000000
